year,ceremony,film,winner,nominated_for_film_editing,awarded_for_film_editing
2000,73,Chocolat,FALSE,FALSE,FALSE
2000,73,"Crouching Tiger, Hidden Dragon",FALSE,TRUE,FALSE
2000,73,Erin Brockovich,FALSE,FALSE,FALSE
2000,73,Gladiator,TRUE,TRUE,FALSE
2000,73,Traffic,FALSE,TRUE,TRUE
2001,74,A Beautiful Mind,TRUE,TRUE,FALSE
2001,74,Gosford Park,FALSE,FALSE,FALSE
2001,74,In the Bedroom,FALSE,FALSE,FALSE
2001,74,The Lord of the Rings: The Fellowship of the Ring,FALSE,TRUE,FALSE
2001,74,Moulin Rouge!,FALSE,FALSE,FALSE
2002,75,Chicago,TRUE,TRUE,TRUE
2002,75,Gangs of New York,FALSE,TRUE,FALSE
2002,75,The Hours,FALSE,TRUE,FALSE
2002,75,The Lord of the Rings: The Two Towers,FALSE,TRUE,FALSE
2002,75,The Pianist,FALSE,TRUE,FALSE
2003,76,The Lord of the Rings: The Return of the King,TRUE,TRUE,TRUE
2003,76,Lost in Translation,FALSE,FALSE,FALSE
2003,76,Master and Commander: The Far Side of the World,FALSE,TRUE,FALSE
2003,76,Mystic River,FALSE,FALSE,FALSE
2003,76,Seabiscuit,FALSE,TRUE,FALSE
2004,77,The Aviator,FALSE,TRUE,TRUE
2004,77,Finding Neverland,FALSE,TRUE,FALSE
2004,77,Million Dollar Baby,TRUE,TRUE,FALSE
2004,77,Ray,FALSE,TRUE,FALSE
2004,77,Sideways,FALSE,FALSE,FALSE
2005,78,Brokeback Mountain,FALSE,FALSE,FALSE
2005,78,Capote,FALSE,FALSE,FALSE
2005,78,Crash,TRUE,TRUE,TRUE
2005,78,"Good Night, and Good Luck",FALSE,FALSE,FALSE
2005,78,Munich,FALSE,TRUE,FALSE
2006,79,Babel,FALSE,TRUE,FALSE
2006,79,The Departed,TRUE,TRUE,TRUE
2006,79,Letters from Iwo Jima,FALSE,FALSE,FALSE
2006,79,Little Miss Sunshine,FALSE,FALSE,FALSE
2006,79,The Queen,FALSE,FALSE,FALSE
2007,80,Atonement,FALSE,FALSE,FALSE
2007,80,Juno,FALSE,FALSE,FALSE
2007,80,Michael Clayton,FALSE,FALSE,FALSE
2007,80,No Country for Old Men,TRUE,TRUE,FALSE
2007,80,There Will Be Blood,FALSE,TRUE,FALSE
2008,81,The Curious Case of Benjamin Button,FALSE,TRUE,FALSE
2008,81,Frost/Nixon,FALSE,TRUE,FALSE
2008,81,Milk,FALSE,TRUE,FALSE
2008,81,The Reader,FALSE,FALSE,FALSE
2008,81,Slumdog Millionaire,TRUE,TRUE,TRUE
2009,82,Avatar,FALSE,TRUE,FALSE
2009,82,The Blind Side,FALSE,FALSE,FALSE
2009,82,District 9,FALSE,TRUE,FALSE
2009,82,An Education,FALSE,FALSE,FALSE
2009,82,The Hurt Locker,TRUE,TRUE,TRUE
