"year","ceremony","film","winner","nominations","awards"
2000,73,"Chocolat",FALSE,5,"0"
2000,73,"Crouching Tiger, Hidden Dragon",FALSE,10,"4"
2000,73,"Erin Brockovich",FALSE,5,"1"
2000,73,"Gladiator",TRUE,12,"5"
2000,73,"Traffic",FALSE,5,"4"
2001,74,"A Beautiful Mind",TRUE,8,"4"
2001,74,"Gosford Park",FALSE,7,"1"
2001,74,"In the Bedroom",FALSE,5,"0"
2001,74,"The Lord of the Rings: The Fellowship of the Ring",FALSE,13,"4"
2001,74,"Moulin Rouge!",FALSE,8,"2"
2002,75,"Chicago",TRUE,13,"6"
2002,75,"Gangs of New York",FALSE,10,"0"
2002,75,"The Hours",FALSE,9,"1"
2002,75,"The Lord of the Rings: The Two Towers",FALSE,6,"2"
2002,75,"The Pianist",FALSE,7,"3"
2003,76,"The Lord of the Rings: The Return of the King",TRUE,11,"11"
2003,76,"Lost in Translation",FALSE,4,"1"
2003,76,"Master and Commander: The Far Side of the World",FALSE,10,"2"
2003,76,"Mystic River",FALSE,6,"2"
2003,76,"Seabiscuit",FALSE,7,"0"
2004,77,"The Aviator",FALSE,11,"5"
2004,77,"Finding Neverland",FALSE,7,"1"
2004,77,"Million Dollar Baby",TRUE,7,"4"
2004,77,"Ray",FALSE,6,"2"
2004,77,"Sideways",FALSE,5,"1"
2005,78,"Brokeback Mountain",FALSE,8,"3"
2005,78,"Capote",FALSE,5,"1"
2005,78,"Crash",TRUE,6,"3"
2005,78,"Good Night, and Good Luck",FALSE,6,"0"
2005,78,"Munich",FALSE,5,"0"
2006,79,"Babel",FALSE,7,"1"
2006,79,"The Departed",TRUE,5,"4"
2006,79,"Letters from Iwo Jima",FALSE,4,"1"
2006,79,"Little Miss Sunshine",FALSE,4,"2"
2006,79,"The Queen",FALSE,6,"1"
2007,80,"Atonement",FALSE,7,"1"
2007,80,"Juno",FALSE,4,"1"
2007,80,"Michael Clayton",FALSE,7,"1"
2007,80,"No Country for Old Men",TRUE,8,"4"
2007,80,"There Will Be Blood",FALSE,8,"2"
2008,81,"The Curious Case of Benjamin Button",FALSE,13,"3"
2008,81,"Frost/Nixon",FALSE,5,"0"
2008,81,"Milk",FALSE,8,"2"
2008,81,"The Reader",FALSE,5,"1"
2008,81,"Slumdog Millionaire",TRUE,10,"8"
2009,82,"Avatar",FALSE,9,"3"
2009,82,"The Blind Side",FALSE,2,"1"
2009,82,"District 9",FALSE,4,"0"
2009,82,"An Education",FALSE,3,"0"
2009,82,"The Hurt Locker",TRUE,9,"6"
2009,82,"Inglourious Basterds",FALSE,8,"1"
2009,82,"Precious",FALSE,6,"2"
2009,82,"A Serious Man",FALSE,2,"0"
2009,82,"Up",FALSE,1,"1"
2009,82,"Up",FALSE,5,"2"
2009,82,"Up in the Air",FALSE,6,"0"
2010,83,"Black Swan",FALSE,5,"1"
2010,83,"The Fighter",FALSE,7,"2"
2010,83,"Inception",FALSE,8,"4"
2010,83,"The Kids Are All Right",FALSE,4,"0"
2010,83,"The King's Speech",TRUE,12,"4"
2010,83,"127 Hours",FALSE,6,"0"
2010,83,"The Social Network",FALSE,8,"3"
2010,83,"Toy Story 3",FALSE,5,"2"
2010,83,"True Grit",FALSE,2,"1"
2010,83,"True Grit",FALSE,10,"0"
2010,83,"Winter's Bone",FALSE,4,"0"
2011,84,"The Artist",TRUE,10,"5"
2011,84,"The Descendants",FALSE,5,"1"
2011,84,"Extremely Loud & Incredibly Close",FALSE,2,"0"
2011,84,"The Help",FALSE,4,"1"
2011,84,"Hugo",FALSE,11,"5"
2011,84,"Midnight in Paris",FALSE,4,"1"
2011,84,"Moneyball",FALSE,6,"0"
2011,84,"The Tree of Life",FALSE,3,"0"
2011,84,"War Horse",FALSE,6,"0"
2012,85,"Amour",FALSE,5,"1"
2012,85,"Argo",TRUE,7,"3"
2012,85,"Beasts of the Southern Wild",FALSE,4,"0"
2012,85,"Django Unchained",FALSE,5,"2"
2012,85,"Les Misérables",FALSE,4,"0"
2012,85,"Les Misérables",FALSE,8,"3"
2012,85,"Les Misérables",FALSE,1,"0"
2012,85,"Life of Pi",FALSE,11,"4"
2012,85,"Lincoln",FALSE,12,"2"
2012,85,"Silver Linings Playbook",FALSE,8,"1"
2012,85,"Zero Dark Thirty",FALSE,5,"1"
2013,86,"American Hustle",FALSE,10,"0"
2013,86,"Captain Phillips",FALSE,6,"0"
2013,86,"Dallas Buyers Club",FALSE,6,"3"
2013,86,"Gravity",FALSE,10,"7"
2013,86,"Her",FALSE,5,"1"
2013,86,"Nebraska",FALSE,6,"0"
2013,86,"Philomena",FALSE,4,"0"
2013,86,"12 Years a Slave",TRUE,9,"3"
2013,86,"The Wolf of Wall Street",FALSE,5,"0"
2014,87,"American Sniper",FALSE,6,"1"
2014,87,"Birdman or (The Unexpected Virtue of Ignorance)",TRUE,9,"4"
2014,87,"Boyhood",FALSE,6,"1"
2014,87,"The Grand Budapest Hotel",FALSE,9,"4"
2014,87,"The Imitation Game",FALSE,8,"1"
2014,87,"Selma",FALSE,2,"1"
2014,87,"The Theory of Everything",FALSE,5,"1"
2014,87,"Whiplash",FALSE,5,"3"
2015,88,"The Big Short",FALSE,5,"1"
2015,88,"Bridge of Spies",FALSE,6,"1"
2015,88,"Brooklyn",FALSE,3,"0"
2015,88,"Mad Max: Fury Road",FALSE,10,"6"
2015,88,"The Martian",FALSE,7,"0"
2015,88,"The Revenant",FALSE,12,"3"
2015,88,"Room",FALSE,4,"1"
2015,88,"Spotlight",TRUE,6,"2"
2016,89,"Arrival",FALSE,8,"1"
2016,89,"Fences",FALSE,4,"1"
2016,89,"Hacksaw Ridge",FALSE,6,"2"
2016,89,"Hell or High Water",FALSE,4,"0"
2016,89,"Hidden Figures",FALSE,3,"0"
2016,89,"La La Land",FALSE,14,"6"
2016,89,"Lion",FALSE,6,"0"
2016,89,"Manchester by the Sea",FALSE,6,"2"
2016,89,"Moonlight",TRUE,8,"3"
2017,90,"Call Me by Your Name",FALSE,4,"1"
2017,90,"Darkest Hour",FALSE,6,"2"
2017,90,"Dunkirk",FALSE,8,"3"
2017,90,"Get Out",FALSE,4,"1"
2017,90,"Lady Bird",FALSE,5,"0"
2017,90,"Phantom Thread",FALSE,6,"1"
2017,90,"The Post",FALSE,2,"0"
2017,90,"The Shape of Water",TRUE,13,"4"
2017,90,"Three Billboards Outside Ebbing, Missouri",FALSE,7,"2"
2018,91,"Black Panther",FALSE,7,"3"
2018,91,"BlacKkKlansman",FALSE,6,"1"
2018,91,"Bohemian Rhapsody",FALSE,5,"4"
2018,91,"The Favourite",FALSE,10,"1"
2018,91,"Green Book",TRUE,5,"3"
2018,91,"Roma",FALSE,10,"3"
2018,91,"A Star Is Born",FALSE,7,"1 (1)"
2018,91,"A Star Is Born",FALSE,6,"0"
2018,91,"Vice",FALSE,8,"1"
2019,92,"Ford v Ferrari",FALSE,4,"2"
2019,92,"The Irishman",FALSE,10,"0"
2019,92,"Jojo Rabbit",FALSE,6,"1"
2019,92,"Joker",FALSE,11,"2"
2019,92,"Little Women",FALSE,3,"1"
2019,92,"Little Women",FALSE,2,"1"
2019,92,"Little Women",FALSE,3,"0"
2019,92,"Little Women",FALSE,6,"1"
2019,92,"Marriage Story",FALSE,6,"1"
2019,92,"1917",FALSE,10,"3"
2019,92,"Once Upon a Time in Hollywood",FALSE,10,"2"
2019,92,"Parasite",TRUE,6,"4"
2020,93,"The Father",FALSE,6,"2"
2020,93,"Judas and the Black Messiah",FALSE,6,"2"
2020,93,"Mank",FALSE,10,"2"
2020,93,"Minari",FALSE,6,"1"
2020,93,"Nomadland",TRUE,6,"3"
2020,93,"Promising Young Woman",FALSE,5,"1"
2020,93,"Sound of Metal",FALSE,6,"2"
2020,93,"The Trial of the Chicago 7",FALSE,6,"0"
2021,94,"Belfast",FALSE,7,"1"
2021,94,"CODA",TRUE,3,"3"
2021,94,"Don't Look Up",FALSE,4,"0"
2021,94,"Drive My Car",FALSE,4,"1"
2021,94,"Dune",FALSE,1,"0"
2021,94,"Dune",FALSE,10,"6"
2021,94,"King Richard",FALSE,6,"1"
2021,94,"Licorice Pizza",FALSE,3,"0"
2021,94,"Nightmare Alley",FALSE,4,"0"
2021,94,"The Power of the Dog",FALSE,12,"1"
2021,94,"West Side Story",FALSE,11,"10"
2021,94,"West Side Story",FALSE,7,"1"
2022,95,"All Quiet on the Western Front",FALSE,4,"2"
2022,95,"All Quiet on the Western Front",FALSE,9,"4"
2022,95,"Avatar: The Way of Water",FALSE,4,"1"
2022,95,"The Banshees of Inisherin",FALSE,9,"0"
2022,95,"Elvis",FALSE,8,"0"
2022,95,"Everything Everywhere All at Once",TRUE,11,"7"
2022,95,"The Fabelmans",FALSE,7,"0"
2022,95,"Tár",FALSE,6,"0"
2022,95,"Top Gun: Maverick",FALSE,6,"1"
2022,95,"Triangle of Sadness",FALSE,3,"0"
2022,95,"Women Talking",FALSE,2,"1"
2023,96,"American Fiction",FALSE,5,"1"
2023,96,"Anatomy of a Fall",FALSE,5,"1"
2023,96,"Barbie",FALSE,8,"1"
2023,96,"The Holdovers",FALSE,5,"1"
2023,96,"Killers of the Flower Moon",FALSE,10,"0"
2023,96,"Maestro",FALSE,1,"0"
2023,96,"Maestro",FALSE,7,"0"
2023,96,"Oppenheimer",TRUE,13,"7"
2023,96,"Past Lives",FALSE,2,"0"
2023,96,"Poor Things",FALSE,11,"4"
2023,96,"The Zone of Interest",FALSE,5,"2"
2024,97,"Anora",TRUE,6,"5"
2024,97,"The Brutalist",FALSE,10,"3"
2024,97,"A Complete Unknown",FALSE,8,"0"
2024,97,"Conclave",FALSE,8,"1"
2024,97,"Dune: Part Two",FALSE,5,"2"
2024,97,"Emilia Pérez",FALSE,13,"2"
2024,97,"I'm Still Here",FALSE,3,"1"
2024,97,"Nickel Boys",FALSE,2,"0"
2024,97,"The Substance",FALSE,5,"1"
2024,97,"Wicked",FALSE,10,"2"
2025,98,"One Battle After Another",TRUE,13,"6"
2025,98,"Bugonia",FALSE,4,"0"
2025,98,"F1",FALSE,4,"1"
2025,98,"Frankenstein",FALSE,9,"3"
2025,98,"Hamnet",FALSE,8,"1"
2025,98,"Marty Supreme",FALSE,9,"0"
2025,98,"The Secret Agent",FALSE,4,"0"
2025,98,"Sentimental Value",FALSE,9,"1"
2025,98,"Sinners",FALSE,16,"4"
2025,98,"Train Dreams",FALSE,4,"0"
