"film","year","ceremony","winner","wiki_link","Running_Time","Budget","Box_Office","Director"
"Chocolat",2000,73,FALSE,"https://en.wikipedia.org/wiki/Chocolat_(2000_film)","121","$25 million","$152.7 million","Lasse Hallström"
"Crouching Tiger, Hidden Dragon",2000,73,FALSE,"https://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon","120","US$17 million","US$214 million","Ang Lee"
"Erin Brockovich",2000,73,FALSE,"https://en.wikipedia.org/wiki/Erin_Brockovich_(film)","130","$52 million","$256.3 million","Steven Soderbergh"
"Gladiator",2000,73,TRUE,"https://en.wikipedia.org/wiki/Gladiator_(2000_film)","155","$103 million","$466 million","Ridley Scott"
"Traffic",2000,73,FALSE,"https://en.wikipedia.org/wiki/Traffic_(2000_film)","147","$48 million","$207.5 million","Steven Soderbergh"
"A Beautiful Mind",2001,74,TRUE,"https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film)","135","$58 million","$316.8 million","Ron Howard"
"Gosford Park",2001,74,FALSE,"https://en.wikipedia.org/wiki/Gosford_Park","137","$19.8 million","$87.8 million","Robert Altman"
"In the Bedroom",2001,74,FALSE,"https://en.wikipedia.org/wiki/In_the_Bedroom","131","$1.7 million","$44.8 million","Todd Field"
"Moulin Rouge!",2001,74,FALSE,"https://en.wikipedia.org/wiki/Moulin_Rouge!","128","$50 million","$179 million","Baz Luhrmann"
"The Lord of the Rings: The Fellowship of the Ring",2001,74,FALSE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring","178","$93&#160;million","$897&#160;million","Peter Jackson"
"Chicago",2002,75,TRUE,"https://en.wikipedia.org/wiki/Chicago_(2002_film)","113","$45 million","$306.8 million","Rob Marshall"
"Gangs of New York",2002,75,FALSE,"https://en.wikipedia.org/wiki/Gangs_of_New_York","168","$97–100 million","$193.8 million","Martin Scorsese"
"The Hours",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Hours_(film)","114","$25 million","$108.8 million","Stephen Daldry"
"The Lord of the Rings: The Two Towers",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers","179","$94 million","$944 million","Peter Jackson"
"The Pianist",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Pianist_(2002_film)","149","$35 million","$120.1 million","Roman Polanski"
"Lost in Translation",2003,76,FALSE,"https://en.wikipedia.org/wiki/Lost_in_Translation_(film)","102","$4 million","$118.7 million","Sofia Coppola"
"Master and Commander: The Far Side of the World",2003,76,FALSE,"https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World","138","$150 million","$211.6 million","Peter Weir"
"Mystic River",2003,76,FALSE,"https://en.wikipedia.org/wiki/Mystic_River_(film)","138","$25–30 million","$156.6 million","Clint Eastwood"
"Seabiscuit",2003,76,FALSE,"https://en.wikipedia.org/wiki/Seabiscuit_(film)","141","$87 million","$148.3 million","Gary Ross"
"The Lord of the Rings: The Return of the King",2003,76,TRUE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King","201","$94 million","$1.148 billion","Peter Jackson"
"Finding Neverland",2004,77,FALSE,"https://en.wikipedia.org/wiki/Finding_Neverland_(film)","101","$25 million","$116.8 million","Marc Forster"
"Million Dollar Baby",2004,77,TRUE,"https://en.wikipedia.org/wiki/Million_Dollar_Baby","132","$30 million","$216.8 million","Clint Eastwood"
"Ray",2004,77,FALSE,"https://en.wikipedia.org/wiki/Ray_(film)","152","$40 million","$124 million","Taylor Hackford"
"Sideways",2004,77,FALSE,"https://en.wikipedia.org/wiki/Sideways","127","$16 million","$109.7 million","Alexander Payne"
"The Aviator",2004,77,FALSE,"https://en.wikipedia.org/wiki/The_Aviator_(2004_film)","170","$110&#160;million","$213.7&#160;million","Martin Scorsese"
"Brokeback Mountain",2005,78,FALSE,"https://en.wikipedia.org/wiki/Brokeback_Mountain","134","$14 million","$179.1 million","Ang Lee"
"Capote",2005,78,FALSE,"https://en.wikipedia.org/wiki/Capote_(film)","114","$7 million","$49.9 million","Bennett Miller"
"Crash",2005,78,TRUE,"https://en.wikipedia.org/wiki/Crash_(2004_film)","112","$6.5 million","$98.4 million","Paul Haggis"
"Good Night, and Good Luck",2005,78,FALSE,"https://en.wikipedia.org/wiki/Good_Night,_and_Good_Luck","93","$7 million","$54.6 million","George Clooney"
"Munich",2005,78,FALSE,"https://en.wikipedia.org/wiki/Munich_(2005_film)","163","$70 million","$131 million","Steven Spielberg"
"Babel",2006,79,FALSE,"https://en.wikipedia.org/wiki/Babel_(film)","144","$25 million","$135.3 million","Alejandro González Iñárritu"
"Letters from Iwo Jima",2006,79,FALSE,"https://en.wikipedia.org/wiki/Letters_from_Iwo_Jima","140","$19 million","$68.7 million","Clint Eastwood"
"Little Miss Sunshine",2006,79,FALSE,"https://en.wikipedia.org/wiki/Little_Miss_Sunshine","102","$8 million","$101.1 million","Michael Arndt"
"The Departed",2006,79,TRUE,"https://en.wikipedia.org/wiki/The_Departed","151","$90 million","$291.5 million","Martin Scorsese"
"The Queen",2006,79,FALSE,"https://en.wikipedia.org/wiki/The_Queen_(2006_film)","103","$15 million","$123.5 million","Stephen Frears"
"Atonement",2007,80,FALSE,"https://en.wikipedia.org/wiki/Atonement_(2007_film)","123","$30 million","$131 million","Joe Wright"
"Juno",2007,80,FALSE,"https://en.wikipedia.org/wiki/Juno_(film)","96","$6.5","$232.3 million","Jason Reitman"
"Michael Clayton",2007,80,FALSE,"https://en.wikipedia.org/wiki/Michael_Clayton_(film)","120","$21.5 million","$93 million","Tony Gilroy"
"No Country for Old Men",2007,80,TRUE,"https://en.wikipedia.org/wiki/No_Country_for_Old_Men","122","$25 million","$171.6 million",NA
"There Will Be Blood",2007,80,FALSE,"https://en.wikipedia.org/wiki/There_Will_Be_Blood","158","$25&#160;million","$76.2&#160;million","Paul Thomas Anderson"
"Frost/Nixon",2008,81,FALSE,"https://en.wikipedia.org/wiki/Frost/Nixon_(film)","122","$25 million","$27.4 million","Ron Howard"
"Milk",2008,81,FALSE,"https://en.wikipedia.org/wiki/Milk_(2008_American_film)","128","$20 million","$54.6 million","Gus Van Sant"
"Slumdog Millionaire",2008,81,TRUE,"https://en.wikipedia.org/wiki/Slumdog_Millionaire","120","$15 million","$378 million","Danny Boyle"
"The Curious Case of Benjamin Button",2008,81,FALSE,"https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)","166","$150–167 million","$335.8 million","David Fincher"
"The Reader",2008,81,FALSE,"https://en.wikipedia.org/wiki/The_Reader_(2008_film)","124","$32 million","$108.9 million","Stephen Daldry"
"A Serious Man",2009,82,FALSE,"https://en.wikipedia.org/wiki/A_Serious_Man","106","$7 million","$31.4 million",NA
"An Education",2009,82,FALSE,"https://en.wikipedia.org/wiki/An_Education","100","$7.5&#160;million","$26.1&#160;million","Lone Scherfig"
"Avatar",2009,82,FALSE,"https://en.wikipedia.org/wiki/Avatar_(2009_film)","162","$237 million","$2.924 billion","James Cameron"
"District 9",2009,82,FALSE,"https://en.wikipedia.org/wiki/District_9","112","$30 million","$210.8 million","Neill Blomkamp"
"Inglourious Basterds",2009,82,FALSE,"https://en.wikipedia.org/wiki/Inglourious_Basterds","153","$70","$321.5","Quentin Tarantino"
"Precious: Based on the Novel 'Push' by Sapphire",2009,82,FALSE,"https://en.wikipedia.org/wiki/Precious_(film)","110","$10 million","$63.3 million","Lee Daniels"
"The Blind Side",2009,82,FALSE,"https://en.wikipedia.org/wiki/The_Blind_Side_(film)","129","$29 million","$309.2 million","John Lee Hancock"
"The Hurt Locker",2009,82,TRUE,"https://en.wikipedia.org/wiki/The_Hurt_Locker","131","$15 million","$49.9 million","Kathryn Bigelow"
"Up",2009,82,FALSE,"https://en.wikipedia.org/wiki/Up_(2009_film)","96","$175 million","$735.1 million","Pete Docter"
"Up in the Air",2009,82,FALSE,"https://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film)","109","$25 million","$166.8 million","Jason Reitman"
"127 Hours",2010,83,FALSE,"https://en.wikipedia.org/wiki/127_Hours","94","$18 million","$60.7 million","Danny Boyle"
"Black Swan",2010,83,FALSE,"https://en.wikipedia.org/wiki/Black_Swan_(film)","108","$13 million","$330.2 million","Darren Aronofsky"
"Inception",2010,83,FALSE,"https://en.wikipedia.org/wiki/Inception","148","$160 million","$839 million","Christopher Nolan"
"The Fighter",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Fighter","116","$11-25 million","$129 million","David O. Russell"
"The Kids Are All Right",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Kids_Are_All_Right_(film)","107","$4 million","$34.7 million","Lisa Cholodenko"
"The King's Speech",2010,83,TRUE,"https://en.wikipedia.org/wiki/The_King%27s_Speech","119","$15&#160;million","$414.2&#160;million","Tom Hooper"
"The Social Network",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Social_Network","120","$40 million","$224.9 million","David Fincher"
"Toy Story 3",2010,83,FALSE,"https://en.wikipedia.org/wiki/Toy_Story_3","103","$200&#160;million","$1.067&#160;billion","Lee Unkrich"
"True Grit",2010,83,FALSE,"https://en.wikipedia.org/wiki/True_Grit_(2010_film)","110","$35–38 million","$252.3 million",NA
"Winter's Bone",2010,83,FALSE,"https://en.wikipedia.org/wiki/Winter%27s_Bone","100","$2 million","$16.1 million","Debra Granik"
"Extremely Loud & Incredibly Close",2011,84,FALSE,"https://en.wikipedia.org/wiki/Extremely_Loud_%26_Incredibly_Close_(film)","129","$40 million","$55.2 million","Stephen Daldry"
"Hugo",2011,84,FALSE,"https://en.wikipedia.org/wiki/Hugo_(film)","126","$150–170 million","$185.8 million","Martin Scorsese"
"Midnight in Paris",2011,84,FALSE,"https://en.wikipedia.org/wiki/Midnight_in_Paris","94","$17&#160;million","$151.7 million","Woody Allen"
"Moneyball",2011,84,FALSE,"https://en.wikipedia.org/wiki/Moneyball_(film)","133","$50 million","$110.2 million","Bennett Miller"
"The Artist",2011,84,TRUE,"https://en.wikipedia.org/wiki/The_Artist_(film)","100","$15 million","$133.4 million","Michel Hazanavicius"
"The Descendants",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Descendants","115","$20 million","$177.2 million","Alexander Payne"
"The Help",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Help_(film)","146","$25 million","$221.8 million","Tate Taylor"
"The Tree of Life",2011,84,FALSE,"https://en.wikipedia.org/wiki/The_Tree_of_Life_(film)",NA,"$32 million","$61 million","Terrence Malick"
"War Horse",2011,84,FALSE,"https://en.wikipedia.org/wiki/War_Horse_(film)","146","$66–70 million","$177.6 million","Steven Spielberg"
"Amour",2012,85,FALSE,"https://en.wikipedia.org/wiki/Amour_(2012_film)","127","$8.9–9.7 million","$36.8 million","Michael Haneke"
"Argo",2012,85,TRUE,"https://en.wikipedia.org/wiki/Argo_(2012_film)","120","$44.5 million","$232.3 million","Ben Affleck"
"Beasts of the Southern Wild",2012,85,FALSE,"https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild","93","$1.8 million","$23.3 million","Benh Zeitlin"
"Django Unchained",2012,85,FALSE,"https://en.wikipedia.org/wiki/Django_Unchained","165","$100 million","$449.8 million","Quentin Tarantino"
"Les Misérables",2012,85,FALSE,"https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film)","158","$61","$442.8","Tom Hooper"
"Life of Pi",2012,85,FALSE,"https://en.wikipedia.org/wiki/Life_of_Pi_(film)","127","$120 million","$609 million","Ang Lee"
"Lincoln",2012,85,FALSE,"https://en.wikipedia.org/wiki/Lincoln_(film)","150","$65 million","$275.3 million","Steven Spielberg"
"Silver Linings Playbook",2012,85,FALSE,"https://en.wikipedia.org/wiki/Silver_Linings_Playbook","122","$21 million","$236.4 million","David O. Russell"
"Zero Dark Thirty",2012,85,FALSE,"https://en.wikipedia.org/wiki/Zero_Dark_Thirty","157","$40–52.5 million","$132.8 million","Kathryn Bigelow"
"12 Years a Slave",2013,86,TRUE,"https://en.wikipedia.org/wiki/12_Years_a_Slave_(film)","134","$20–22 million","$187.7 million","Steve McQueen"
"American Hustle",2013,86,FALSE,"https://en.wikipedia.org/wiki/American_Hustle","138","$40 million","$251 million","David O. Russell"
"Captain Phillips",2013,86,FALSE,"https://en.wikipedia.org/wiki/Captain_Phillips_(film)","134","$55 million","$220.6 million","Paul Greengrass"
"Dallas Buyers Club",2013,86,FALSE,"https://en.wikipedia.org/wiki/Dallas_Buyers_Club","117","$5 million","$55 million","Jean-Marc Vallée"
"Gravity",2013,86,FALSE,"https://en.wikipedia.org/wiki/Gravity_(2013_film)","91","$80–130 million","$723.2 million","Alfonso Cuarón"
"Her",2013,86,FALSE,"https://en.wikipedia.org/wiki/Her_(2013_film)","126","$23 million","$48.3 million","Spike Jonze"
"Nebraska",2013,86,FALSE,"https://en.wikipedia.org/wiki/Nebraska_(film)","115","$13.5 million","$27.7 million","Alexander Payne"
"Philomena",2013,86,FALSE,"https://en.wikipedia.org/wiki/Philomena_(film)","98","$12 million","$100.1 million","Stephen Frears"
"The Wolf of Wall Street",2013,86,FALSE,"https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)","180","$100&#160;million","$407&#160;million","Martin Scorsese"
"American Sniper",2014,87,FALSE,"https://en.wikipedia.org/wiki/American_Sniper","132","$59 million","$547.7 million","Clint Eastwood"
"Birdman or (The Unexpected Virtue of Ignorance)",2014,87,TRUE,"https://en.wikipedia.org/wiki/Birdman_(film)","119","$16.5–18 million","$103.2 million","Alejandro G. Iñárritu"
"Boyhood",2014,87,FALSE,"https://en.wikipedia.org/wiki/Boyhood_(2014_film)","165","$4 million","$57.3 million","Richard Linklater"
"Selma",2014,87,FALSE,"https://en.wikipedia.org/wiki/Selma_(film)","128","$20 million","$67.8 million","Ava DuVernay"
"The Grand Budapest Hotel",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel","100","$25&#160;million","$174.6&#160;million","Wes Anderson"
"The Imitation Game",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Imitation_Game","115","$14 million","$233.6 million","Morten Tyldum"
"The Theory of Everything",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film)","123","$15 million","$123.7 million","James Marsh"
"Whiplash",2014,87,FALSE,"https://en.wikipedia.org/wiki/Whiplash_(2014_film)","106","$3.3 million","$50.4 million","Damien Chazelle"
"Bridge of Spies",2015,88,FALSE,"https://en.wikipedia.org/wiki/Bridge_of_Spies_(film)","141","$40 million","$165.5 million","Steven Spielberg"
"Brooklyn",2015,88,FALSE,"https://en.wikipedia.org/wiki/Brooklyn_(film)","112","$11 million","$62.4 million","John Crowley"
"Mad Max: Fury Road",2015,88,FALSE,"https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road","120","$154.6–185.1 million","$380.4 million","George Miller"
"Room",2015,88,FALSE,"https://en.wikipedia.org/wiki/Room_(2015_film)","118","$13 million","$36.3 million","Lenny Abrahamson"
"Spotlight",2015,88,TRUE,"https://en.wikipedia.org/wiki/Spotlight_(film)","129","$20 million","$98.7 million","Tom McCarthy"
"The Big Short",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Big_Short_(film)","130","$50 million","$133.4 million","Adam McKay"
"The Martian",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Martian_(film)","142","$108&#160;million","$630.6&#160;million","Ridley Scott"
"The Revenant",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Revenant_(2015_film)","156","$135 million","$533 million","Alejandro González Iñárritu"
"Arrival",2016,89,FALSE,"https://en.wikipedia.org/wiki/Arrival_(film)","116","$47 million","$203.4 million","Denis Villeneuve"
"Fences",2016,89,FALSE,"https://en.wikipedia.org/wiki/Fences_(film)","138","$24 million","$64.4 million","Denzel Washington"
"Hacksaw Ridge",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hacksaw_Ridge","139","$40 million","$180.6 million","Mel Gibson"
"Hell or High Water",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hell_or_High_Water_(film)","102","$12 million","$37.9 million","David Mackenzie"
"Hidden Figures",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hidden_Figures","127","$25 million","$236 million","Theodore Melfi"
"La La Land",2016,89,FALSE,"https://en.wikipedia.org/wiki/La_La_Land","128","$30 million","$504.6 million","Damien Chazelle"
"Lion",2016,89,FALSE,"https://en.wikipedia.org/wiki/Lion_(2016_film)","118","$12 million","$140.3 million","Garth Davis"
"Manchester by the Sea",2016,89,FALSE,"https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film)","137","$8.5–9","$79","Kenneth Lonergan"
"Moonlight",2016,89,TRUE,"https://en.wikipedia.org/wiki/Moonlight_(2016_film)","111","$1.5–4 million","$66.7 million","Barry Jenkins"
"Call Me by Your Name",2017,90,FALSE,"https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film)","132","$3.5 million","$43.1 million","Luca Guadagnino"
"Darkest Hour",2017,90,FALSE,"https://en.wikipedia.org/wiki/Darkest_Hour_(film)","125","$30&#160;million","$150.8&#160;million","Joe Wright"
"Dunkirk",2017,90,FALSE,"https://en.wikipedia.org/wiki/Dunkirk_(2017_film)","106","$100 million","$549.1 million","Christopher Nolan"
"Get Out",2017,90,FALSE,"https://en.wikipedia.org/wiki/Get_Out","104","$4.5&#160;million","$259.8&#160;million","Jordan Peele"
"Lady Bird",2017,90,FALSE,"https://en.wikipedia.org/wiki/Lady_Bird_(film)","94","$10&#160;million","$79 million","Greta Gerwig"
"Phantom Thread",2017,90,FALSE,"https://en.wikipedia.org/wiki/Phantom_Thread","130","$35&#160;million","$52.2&#160;million","Paul Thomas Anderson"
"The Post",2017,90,FALSE,"https://en.wikipedia.org/wiki/The_Post_(film)","116","$50 million","$179.8 million","Steven Spielberg"
"The Shape of Water",2017,90,TRUE,"https://en.wikipedia.org/wiki/The_Shape_of_Water","123","$19.3–19.5&#160;million","$195.2&#160;million","Guillermo del Toro"
"Three Billboards outside Ebbing, Missouri",2017,90,FALSE,"https://en.wikipedia.org/wiki/Three_Billboards_Outside_Ebbing,_Missouri","115","$12–15 million","$162.7 million","Martin McDonagh"
"A Star Is Born",2018,91,FALSE,"https://en.wikipedia.org/wiki/A_Star_Is_Born_(2018_film)","136","$36 million","$436.3 million","Bradley Cooper"
"Black Panther",2018,91,FALSE,"https://en.wikipedia.org/wiki/Black_Panther_(film)","134","$200&#160;million","$1.35&#160;billion","Ryan Coogler"
"BlacKkKlansman",2018,91,FALSE,"https://en.wikipedia.org/wiki/BlacKkKlansman","135","$15 million","$93.4 million","Spike Lee"
"Bohemian Rhapsody",2018,91,FALSE,"https://en.wikipedia.org/wiki/Bohemian_Rhapsody_(film)","134","$50–55 million","$910.8&#160;million","Bryan Singer"
"Green Book",2018,91,TRUE,"https://en.wikipedia.org/wiki/Green_Book_(film)","130","$23 million","$321.8 million","Peter Farrelly"
"Roma",2018,91,FALSE,"https://en.wikipedia.org/wiki/Roma_(2018_film)","135","$15&#160;million","$5.1&#160;million","Alfonso Cuarón"
"The Favourite",2018,91,FALSE,"https://en.wikipedia.org/wiki/The_Favourite_(2018_film)","120","$15&#160;million","$96&#160;million","Yorgos Lanthimos"
"Vice",2018,91,FALSE,"https://en.wikipedia.org/wiki/Vice_(2018_film)","132","$60 million","$76.1 million","Adam McKay"
"1917",2019,92,FALSE,"https://en.wikipedia.org/wiki/1917_(2019_film)","119","$90–100 million","$446.1 million","Sam Mendes"
"Ford v Ferrari",2019,92,FALSE,"https://en.wikipedia.org/wiki/Ford_v_Ferrari","152","$97.6 million","$225.5 million","James Mangold"
"Jojo Rabbit",2019,92,FALSE,"https://en.wikipedia.org/wiki/Jojo_Rabbit","108","$14&#160;million","$93.6&#160;million","Taika Waititi"
"Joker",2019,92,FALSE,"https://en.wikipedia.org/wiki/Joker_(2019_film)","122","$55–70 million","$1.079&#160;billion","Todd Phillips"
"Little Women",2019,92,FALSE,"https://en.wikipedia.org/wiki/Little_Women_(2019_film)","135","$40 million","$220.1 million","Greta Gerwig"
"Marriage Story",2019,92,FALSE,"https://en.wikipedia.org/wiki/Marriage_Story","137","$18&#160;million","$2.3&#160;million","Noah Baumbach"
"Once upon a Time...in Hollywood",2019,92,FALSE,"https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood","161","$90–96 million","$392.1 million","Quentin Tarantino"
"Parasite",2019,92,TRUE,"https://en.wikipedia.org/wiki/Parasite_(2019_film)","132","₩377.3 billion","₩377.3 billion","Bong Joon Ho"
"The Irishman",2019,92,FALSE,"https://en.wikipedia.org/wiki/The_Irishman","209","$159–250 million","$8 million","Martin Scorsese"
"Judas and the Black Messiah",2020,93,FALSE,"https://en.wikipedia.org/wiki/Judas_and_the_Black_Messiah","126","$26 million","$7.5 million","Shaka King"
"Mank",2020,93,FALSE,"https://en.wikipedia.org/wiki/Mank","131","$25&#160;million","$122,572","David Fincher"
"Minari",2020,93,FALSE,"https://en.wikipedia.org/wiki/Minari","115","$2 million","$15.5 million","Lee Isaac Chung"
"Nomadland",2020,93,TRUE,"https://en.wikipedia.org/wiki/Nomadland","108","$5 million","$39.5 million","Chloé Zhao"
"Promising Young Woman",2020,93,FALSE,"https://en.wikipedia.org/wiki/Promising_Young_Woman","114","$10&#160;million","$18.9&#160;million","Emerald Fennell"
"Sound of Metal",2020,93,FALSE,"https://en.wikipedia.org/wiki/Sound_of_Metal","120","$5.4 million","$516,520","Darius Marder"
"The Father",2020,93,FALSE,"https://en.wikipedia.org/wiki/The_Father_(2020_film)","97","$6&#160;million","$36&#160;million","Florian Zeller"
"The Trial of the Chicago 7",2020,93,FALSE,"https://en.wikipedia.org/wiki/The_Trial_of_the_Chicago_7","130","$35&#160;million","$116,473","Aaron Sorkin"
"Belfast",2021,94,FALSE,"https://en.wikipedia.org/wiki/Belfast_(film)","97","$10–15 million","$49 million","Kenneth Branagh"
"CODA",2021,94,TRUE,"https://en.wikipedia.org/wiki/CODA_(2021_film)","111","$10&#160;million","$2.2 million","Sian Heder"
"Don't Look Up",2021,94,FALSE,"https://en.wikipedia.org/wiki/Don%27t_Look_Up","138","$75 million","$791,863","Adam McKay"
"Drive My Car",2021,94,FALSE,"https://en.wikipedia.org/wiki/Drive_My_Car_(film)","179","$1.3 million","$15.4 million","Ryusuke Hamaguchi"
"Dune",2021,94,FALSE,"https://en.wikipedia.org/wiki/Dune_(2021_film)","156","$165 million","$411 million","Denis Villeneuve"
"King Richard",2021,94,FALSE,"https://en.wikipedia.org/wiki/King_Richard_(film)","145","$50 million","$39.4 million","Reinaldo Marcus Green"
"Licorice Pizza",2021,94,FALSE,"https://en.wikipedia.org/wiki/Licorice_Pizza","133","$40&#160;million","$33.3 million","Paul Thomas Anderson"
"Nightmare Alley",2021,94,FALSE,"https://en.wikipedia.org/wiki/Nightmare_Alley_(2021_film)","150","$60 million","$39.6 million","Guillermo del Toro"
"The Power of the Dog",2021,94,FALSE,"https://en.wikipedia.org/wiki/The_Power_of_the_Dog_(film)","126","$35–39 million","$417,022","Jane Campion"
"West Side Story",2021,94,FALSE,"https://en.wikipedia.org/wiki/West_Side_Story_(2021_film)","156","$100","$76","Steven Spielberg"
"All Quiet on the Western Front",2022,95,FALSE,"https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(2022_film)","147","US$20 million",NA,"Edward Berger"
"Avatar: The Way of Water",2022,95,FALSE,"https://en.wikipedia.org/wiki/Avatar:_The_Way_of_Water","192","$350–460&#160;million","$2.334","James Cameron"
"Elvis",2022,95,FALSE,"https://en.wikipedia.org/wiki/Elvis_(2022_film)","159","$85 million","$288.7 million","Baz Luhrmann"
"Everything Everywhere All at Once",2022,95,TRUE,"https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once","139","$14–25 million","$143.4 million",NA
"Tár",2022,95,FALSE,"https://en.wikipedia.org/wiki/T%C3%A1r","158",NA,"$29.3 million","Todd Field"
"The Banshees of Inisherin",2022,95,FALSE,"https://en.wikipedia.org/wiki/The_Banshees_of_Inisherin","114","$20&#160;million","$52.3&#160;million","Martin McDonagh"
"The Fabelmans",2022,95,FALSE,"https://en.wikipedia.org/wiki/The_Fabelmans","151","$40 million","$45.6 million","Steven Spielberg"
"Top Gun: Maverick",2022,95,FALSE,"https://en.wikipedia.org/wiki/Top_Gun:_Maverick","130","$170–177&#160;million","$1.496&#160;billion","Joseph Kosinski"
"Triangle of Sadness",2022,95,FALSE,"https://en.wikipedia.org/wiki/Triangle_of_Sadness","147","$15.6 million","$32.9 million","Ruben Östlund"
"Women Talking",2022,95,FALSE,"https://en.wikipedia.org/wiki/Women_Talking_(film)","104","$20 million","$9.3 million","Sarah Polley"
"American Fiction",2023,96,FALSE,"https://en.wikipedia.org/wiki/American_Fiction_(film)","117","$10 million","$23 million","Cord Jefferson"
"Anatomy of a Fall",2023,96,FALSE,"https://en.wikipedia.org/wiki/Anatomy_of_a_Fall","152","$36 million","$36 million","Justine Triet"
"Barbie",2023,96,FALSE,"https://en.wikipedia.org/wiki/Barbie_(film)","114","$128–145&#160;million","$1.448&#160;billion","Greta Gerwig"
"Killers of the Flower Moon",2023,96,FALSE,"https://en.wikipedia.org/wiki/Killers_of_the_Flower_Moon_(film)","206","$200–215 million","$158.8 million","Martin Scorsese"
"Maestro",2023,96,FALSE,"https://en.wikipedia.org/wiki/Maestro_(2023_film)","129","$80 million","$523,000","Bradley Cooper"
"Oppenheimer",2023,96,TRUE,"https://en.wikipedia.org/wiki/Oppenheimer_(film)","180","$100 million","$975.8 million","Christopher Nolan"
