film,director,year,bd_award_no_concurrent,bd_award_yes_concurrent,bd_nominate_no_concurrent,bd_nominate_yes_concurrent,winner
Chocolat,Lasse Hallström,2000,0,0,2,2,FALSE
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,0,0,0,1,FALSE
Erin Brockovich,Steven Soderbergh,2000,0,1,0,0,FALSE
Gladiator,Ridley Scott,2000,0,0,1,2,TRUE
Traffic,Steven Soderbergh,2000,0,1,0,0,FALSE
A Beautiful Mind,Ron Howard,2001,0,1,0,0,TRUE
Gosford Park,Robert Altman,2001,0,0,4,5,FALSE
In the Bedroom,Todd Field,2001,0,0,0,0,FALSE
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,0,0,0,1,FALSE
Moulin Rouge,Baz Luhrmann,2001,0,0,0,0,FALSE
Chicago,Rob Marshall,2002,0,0,0,1,TRUE
Gangs of New York,Martin Scorsese,2002,0,0,3,4,FALSE
The Hours,Stephen Daldry,2002,0,0,1,2,FALSE
The Lord of the Rings: The Two Towers,Peter Jackson,2002,0,0,1,1,FALSE
The Pianist,Roman Polanski,2002,0,1,2,2,FALSE
The Lord of the Rings: The Return of the King,Peter Jackson,2003,0,1,1,1,TRUE
Lost in Translation,Sofia Coppola,2003,0,0,0,1,FALSE
Master and Commander: The Far Side of the World,Peter Weir,2003,0,0,3,4,FALSE
Mystic River,Clint Eastwood,2003,1,1,0,1,FALSE
Seabiscuit,Gary Ross,2003,0,0,0,0,FALSE
The Aviator,Martin Scorsese,2004,0,0,4,5,FALSE
Finding Neverland,Marc Forster,2004,0,0,0,0,FALSE
Million Dollar Baby,Clint Eastwood,2004,1,2,1,1,TRUE
Ray,Taylor Hackford,2004,0,0,0,1,FALSE
Sideways,Alexander Payne,2004,0,0,0,1,FALSE
Brokeback Mountain,Ang Lee,2005,0,1,1,1,FALSE
Capote,Bennett Miller,2005,0,0,0,1,FALSE
Crash,Paul Haggis,2005,0,0,0,1,TRUE
"Good Night, and Good Luck.",George Clooney,2005,0,0,0,1,FALSE
Munich,Steven Spielberg,2005,2,2,3,4,FALSE
Babel,Alejandro González Iñárritu,2006,0,0,0,1,FALSE
The Departed,Martin Scorsese,2006,0,1,5,5,TRUE
Letters from Iwo Jima,Clint Eastwood,2006,2,2,1,2,FALSE
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris",2006,0,0,0,0,FALSE
The Queen,Stephen Frears,2006,0,0,1,2,FALSE
Atonement,Joe Wright,2007,0,0,0,0,FALSE
Juno,Jason Reitman,2007,0,0,0,1,FALSE
