"year","ceremony","film","winner"
2000,73,"Chocolat",FALSE
2000,73,"Crouching Tiger, Hidden Dragon",FALSE
2000,73,"Erin Brockovich",FALSE
2000,73,"Gladiator",TRUE
2000,73,"Traffic",FALSE
2001,74,"A Beautiful Mind",TRUE
2001,74,"Gosford Park",FALSE
2001,74,"In the Bedroom",FALSE
2001,74,"The Lord of the Rings: The Fellowship of the Ring",FALSE
2001,74,"Moulin Rouge!",FALSE
2002,75,"Chicago",TRUE
2002,75,"Gangs of New York",FALSE
2002,75,"The Hours",FALSE
2002,75,"The Lord of the Rings: The Two Towers",FALSE
2002,75,"The Pianist",FALSE
2003,76,"The Lord of the Rings: The Return of the King",TRUE
2003,76,"Lost in Translation",FALSE
2003,76,"Master and Commander: The Far Side of the World",FALSE
2003,76,"Mystic River",FALSE
2003,76,"Seabiscuit",FALSE
2004,77,"The Aviator",FALSE
2004,77,"Finding Neverland",FALSE
2004,77,"Million Dollar Baby",TRUE
2004,77,"Ray",FALSE
2004,77,"Sideways",FALSE
2005,78,"Brokeback Mountain",FALSE
2005,78,"Capote",FALSE
2005,78,"Crash",TRUE
2005,78,"Good Night, and Good Luck",FALSE
2005,78,"Munich",FALSE
2006,79,"Babel",FALSE
2006,79,"The Departed",TRUE
2006,79,"Letters from Iwo Jima",FALSE
2006,79,"Little Miss Sunshine",FALSE
2006,79,"The Queen",FALSE
2007,80,"Atonement",FALSE
2007,80,"Juno",FALSE
2007,80,"Michael Clayton",FALSE
2007,80,"No Country for Old Men",TRUE
2007,80,"There Will Be Blood",FALSE
2008,81,"The Curious Case of Benjamin Button",FALSE
2008,81,"Frost/Nixon",FALSE
2008,81,"Milk",FALSE
2008,81,"The Reader",FALSE
2008,81,"Slumdog Millionaire",TRUE
2009,82,"Avatar",FALSE
2009,82,"The Blind Side",FALSE
2009,82,"District 9",FALSE
2009,82,"An Education",FALSE
2009,82,"The Hurt Locker",TRUE
2009,82,"Inglourious Basterds",FALSE
2009,82,"Precious: Based on the Novel 'Push' by Sapphire",FALSE
2009,82,"A Serious Man",FALSE
2009,82,"Up",FALSE
2009,82,"Up in the Air",FALSE
2010,83,"Black Swan",FALSE
2010,83,"The Fighter",FALSE
2010,83,"Inception",FALSE
2010,83,"The Kids Are All Right",FALSE
2010,83,"The King's Speech",TRUE
2010,83,"127 Hours",FALSE
2010,83,"The Social Network",FALSE
2010,83,"Toy Story 3",FALSE
2010,83,"True Grit",FALSE
2010,83,"Winter's Bone",FALSE
2011,84,"The Artist",TRUE
2011,84,"The Descendants",FALSE
2011,84,"Extremely Loud & Incredibly Close",FALSE
2011,84,"The Help",FALSE
2011,84,"Hugo",FALSE
2011,84,"Midnight in Paris",FALSE
2011,84,"Moneyball",FALSE
2011,84,"The Tree of Life",FALSE
2011,84,"War Horse",FALSE
2012,85,"Amour",FALSE
2012,85,"Argo",TRUE
2012,85,"Beasts of the Southern Wild",FALSE
2012,85,"Django Unchained",FALSE
2012,85,"Les Misérables",FALSE
2012,85,"Life of Pi",FALSE
2012,85,"Lincoln",FALSE
2012,85,"Silver Linings Playbook",FALSE
2012,85,"Zero Dark Thirty",FALSE
2013,86,"American Hustle",FALSE
2013,86,"Captain Phillips",FALSE
2013,86,"Dallas Buyers Club",FALSE
2013,86,"Gravity",FALSE
2013,86,"Her",FALSE
2013,86,"Nebraska",FALSE
2013,86,"Philomena",FALSE
2013,86,"12 Years a Slave",TRUE
2013,86,"The Wolf of Wall Street",FALSE
2014,87,"American Sniper",FALSE
2014,87,"Birdman or (The Unexpected Virtue of Ignorance)",TRUE
2014,87,"Boyhood",FALSE
2014,87,"The Grand Budapest Hotel",FALSE
2014,87,"The Imitation Game",FALSE
2014,87,"Selma",FALSE
2014,87,"The Theory of Everything",FALSE
2014,87,"Whiplash",FALSE
2015,88,"The Big Short",FALSE
2015,88,"Bridge of Spies",FALSE
2015,88,"Brooklyn",FALSE
2015,88,"Mad Max: Fury Road",FALSE
2015,88,"The Martian",FALSE
2015,88,"The Revenant",FALSE
2015,88,"Room",FALSE
2015,88,"Spotlight",TRUE
2016,89,"Arrival",FALSE
2016,89,"Fences",FALSE
2016,89,"Hacksaw Ridge",FALSE
2016,89,"Hell or High Water",FALSE
2016,89,"Hidden Figures",FALSE
2016,89,"La La Land",FALSE
2016,89,"Lion",FALSE
2016,89,"Manchester by the Sea",FALSE
2016,89,"Moonlight",TRUE
2017,90,"Call Me by Your Name",FALSE
2017,90,"Darkest Hour",FALSE
2017,90,"Dunkirk",FALSE
2017,90,"Get Out",FALSE
2017,90,"Lady Bird",FALSE
2017,90,"Phantom Thread",FALSE
