"","film","year","ceremony","winner","wiki_link","Running_Time_Minutes","Budget_Millions","Box_Office_Millions"
"1","Chocolat",2000,73,FALSE,"https://en.wikipedia.org/wiki/Chocolat_(2000_film)",121,25,152.7
"2","Crouching Tiger, Hidden Dragon",2000,73,FALSE,"https://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon",120,17,214
"3","Erin Brockovich",2000,73,FALSE,"https://en.wikipedia.org/wiki/Erin_Brockovich_(film)",130,52,256.3
"4","Gladiator",2000,73,TRUE,"https://en.wikipedia.org/wiki/Gladiator_(2000_film)",155,103,466
"5","Traffic",2000,73,FALSE,"https://en.wikipedia.org/wiki/Traffic_(2000_film)",147,48,207.5
"6","A Beautiful Mind",2001,74,TRUE,"https://en.wikipedia.org/wiki/A_Beautiful_Mind_(film)",135,58,316.8
"7","Gosford Park",2001,74,FALSE,"https://en.wikipedia.org/wiki/Gosford_Park",137,19.8,87.8
"8","In the Bedroom",2001,74,FALSE,"https://en.wikipedia.org/wiki/In_the_Bedroom",131,1.7,44.8
"9","Moulin Rouge!",2001,74,FALSE,"https://en.wikipedia.org/wiki/Moulin_Rouge!",128,50,179
"10","The Lord of the Rings: The Fellowship of the Ring",2001,74,FALSE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring",178,93,897
"11","Chicago",2002,75,TRUE,"https://en.wikipedia.org/wiki/Chicago_(2002_film)",113,45,306.8
"12","Gangs of New York",2002,75,FALSE,"https://en.wikipedia.org/wiki/Gangs_of_New_York",168,98.5,193.8
"13","The Hours",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Hours_(film)",114,25,108.8
"14","The Lord of the Rings: The Two Towers",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers",179,94,944
"15","The Pianist",2002,75,FALSE,"https://en.wikipedia.org/wiki/The_Pianist_(2002_film)",149,35,120.1
"16","Lost in Translation",2003,76,FALSE,"https://en.wikipedia.org/wiki/Lost_in_Translation_(film)",102,4,118.7
"17","Master and Commander: The Far Side of the World",2003,76,FALSE,"https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World",138,150,211.6
"18","Mystic River",2003,76,FALSE,"https://en.wikipedia.org/wiki/Mystic_River_(film)",138,27.5,156.6
"19","Seabiscuit",2003,76,FALSE,"https://en.wikipedia.org/wiki/Seabiscuit_(film)",141,87,148.3
"20","The Lord of the Rings: The Return of the King",2003,76,TRUE,"https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King",201,94,1148
"21","Finding Neverland",2004,77,FALSE,"https://en.wikipedia.org/wiki/Finding_Neverland_(film)",101,25,116.8
"22","Million Dollar Baby",2004,77,TRUE,"https://en.wikipedia.org/wiki/Million_Dollar_Baby",132,30,216.8
"23","Ray",2004,77,FALSE,"https://en.wikipedia.org/wiki/Ray_(film)",152,40,124
"24","Sideways",2004,77,FALSE,"https://en.wikipedia.org/wiki/Sideways",127,16,109.7
"25","The Aviator",2004,77,FALSE,"https://en.wikipedia.org/wiki/The_Aviator_(2004_film)",170,110,213.7
"26","Brokeback Mountain",2005,78,FALSE,"https://en.wikipedia.org/wiki/Brokeback_Mountain",134,14,179.1
"27","Capote",2005,78,FALSE,"https://en.wikipedia.org/wiki/Capote_(film)",114,7,49.9
"28","Crash",2005,78,TRUE,"https://en.wikipedia.org/wiki/Crash_(2004_film)",112,6.5,98.4
"29","Good Night, and Good Luck",2005,78,FALSE,"https://en.wikipedia.org/wiki/Good_Night,_and_Good_Luck",93,7,54.6
"30","Munich",2005,78,FALSE,"https://en.wikipedia.org/wiki/Munich_(2005_film)",163,70,131
"31","Babel",2006,79,FALSE,"https://en.wikipedia.org/wiki/Babel_(film)",144,25,135.3
"32","Letters from Iwo Jima",2006,79,FALSE,"https://en.wikipedia.org/wiki/Letters_from_Iwo_Jima",140,19,68.7
"33","Little Miss Sunshine",2006,79,FALSE,"https://en.wikipedia.org/wiki/Little_Miss_Sunshine",102,8,101.1
"34","The Departed",2006,79,TRUE,"https://en.wikipedia.org/wiki/The_Departed",151,90,291.5
"35","The Queen",2006,79,FALSE,"https://en.wikipedia.org/wiki/The_Queen_(2006_film)",103,15,123.5
"36","Atonement",2007,80,FALSE,"https://en.wikipedia.org/wiki/Atonement_(2007_film)",123,30,131
"37","Juno",2007,80,FALSE,"https://en.wikipedia.org/wiki/Juno_(film)",96,6.5,232.3
"38","Michael Clayton",2007,80,FALSE,"https://en.wikipedia.org/wiki/Michael_Clayton_(film)",120,21.5,93
"39","No Country for Old Men",2007,80,TRUE,"https://en.wikipedia.org/wiki/No_Country_for_Old_Men",122,25,171.6
"40","There Will Be Blood",2007,80,FALSE,"https://en.wikipedia.org/wiki/There_Will_Be_Blood",158,25,76.2
"41","Frost/Nixon",2008,81,FALSE,"https://en.wikipedia.org/wiki/Frost/Nixon_(film)",122,25,27.4
"42","Milk",2008,81,FALSE,"https://en.wikipedia.org/wiki/Milk_(2008_American_film)",128,20,54.6
"43","Slumdog Millionaire",2008,81,TRUE,"https://en.wikipedia.org/wiki/Slumdog_Millionaire",120,15,378
"44","The Curious Case of Benjamin Button",2008,81,FALSE,"https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)",166,158.5,335.8
"45","The Reader",2008,81,FALSE,"https://en.wikipedia.org/wiki/The_Reader_(2008_film)",124,32,108.9
"46","A Serious Man",2009,82,FALSE,"https://en.wikipedia.org/wiki/A_Serious_Man",106,7,31.4
"47","An Education",2009,82,FALSE,"https://en.wikipedia.org/wiki/An_Education",100,7.5,26.1
"48","Avatar",2009,82,FALSE,"https://en.wikipedia.org/wiki/Avatar_(2009_film)",162,237,2924
"49","District 9",2009,82,FALSE,"https://en.wikipedia.org/wiki/District_9",112,30,210.8
"50","Inglourious Basterds",2009,82,FALSE,"https://en.wikipedia.org/wiki/Inglourious_Basterds",153,70,321.5
"51","Precious: Based on the Novel 'Push' by Sapphire",2009,82,FALSE,"https://en.wikipedia.org/wiki/Precious_(film)",110,10,63.3
"52","The Blind Side",2009,82,FALSE,"https://en.wikipedia.org/wiki/The_Blind_Side_(film)",129,29,309.2
"53","The Hurt Locker",2009,82,TRUE,"https://en.wikipedia.org/wiki/The_Hurt_Locker",131,15,49.9
"54","Up",2009,82,FALSE,"https://en.wikipedia.org/wiki/Up_(2009_film)",96,175,735.1
"55","Up in the Air",2009,82,FALSE,"https://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film)",109,25,166.8
"56","127 Hours",2010,83,FALSE,"https://en.wikipedia.org/wiki/127_Hours",94,18,60.7
"57","Black Swan",2010,83,FALSE,"https://en.wikipedia.org/wiki/Black_Swan_(film)",108,13,330.2
"58","Inception",2010,83,FALSE,"https://en.wikipedia.org/wiki/Inception",148,160,839
"59","The Fighter",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Fighter",116,18,129
"60","The Kids Are All Right",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Kids_Are_All_Right_(film)",107,4,34.7
"61","The King's Speech",2010,83,TRUE,"https://en.wikipedia.org/wiki/The_King%27s_Speech",119,15,414.2
"62","The Social Network",2010,83,FALSE,"https://en.wikipedia.org/wiki/The_Social_Network",120,40,224.9
"63","Toy Story 3",2010,83,FALSE,"https://en.wikipedia.org/wiki/Toy_Story_3",103,200,1067
"64","True Grit",2010,83,FALSE,"https://en.wikipedia.org/wiki/True_Grit_(2010_film)",110,36.5,252.3
"65","Winter's Bone",2010,83,FALSE,"https://en.wikipedia.org/wiki/Winter%27s_Bone",100,2,16.1
