"County","State","Mean.Life.Expectancy","Poverty.Rate","High.School.Degree.or.Higher....","Bachelor.s.Degree.or.Higher....","Median.Age","Gini.Index","Disability.Rate","Total.Population","Median.Household.Income","Unemployment.Rate","Year","White.Population....","Hispanic.Population....","Black.Population....","Households.with.No.Vehicle....","Rent.Burden...50..of.HI.","Single.Mother.Families...."
"Autauga County","Alabama",76.5932651350438,15.2,88.5,26.6,38.2,0.4542,19,55380,58731,3.7,2019,76.7912603828097,2.825929938606,19.0285301552907,4.39781277749217,25.249343832021,8.05253382860175
"Baldwin County","Alabama",78.2935223384932,10.4,90.8,31.9,43,0.4587,14.2,212830,58320,4.3,2019,86.2054221679275,4.56279659822393,9.26467133392849,3.28184851105894,18.9278227014076,6.74808760543887
"Barbour County","Alabama",74.8145320945807,30.7,73.2,11.6,40.4,0.4883,21.4,25361,32525,9.2,2019,46.8002050392335,4.35708371121013,47.5769882891053,10.1658640984484,20.6622879036672,15.4032649102958
"Bibb County","Alabama",73.9200538034534,18.1,79.1,10.4,40.9,0.4487,17.2,22493,47542,7.3,2019,76.7883341484017,2.57413417507669,22.2913795403014,6.16746480917138,21.4974475326149,6.28523700146168
"Blount County","Alabama",75.0291855488467,13.6,80.5,13.1,40.7,0.457,14.1,57681,49358,3.4,2019,95.4595100639725,9.26128187791474,1.6088486676722,4.12529380726244,15.4385171790235,6.25252117789431
"Bullock County","Alabama",73.9493288862537,28.9,74.7,12.1,40.2,0.4731,12,10248,37785,3.9,2019,21.8969555035129,2.55659640905543,74.8048399687744,10.7071854586765,28.7118977384464,16.2539936102236
"Butler County","Alabama",74.1389189035864,22.5,85,16.1,40.8,0.4619,16.5,19828,40688,6.8,2019,51.8458745208796,1.39701432317934,45.3954004438168,7.50076852136489,15.2941176470588,12.2142692218887
"Calhoun County","Alabama",73.5629066906819,17.9,84.4,18.5,39.6,0.4633,21.2,114618,47255,8.1,2019,73.669929679457,3.79696033781779,20.7908007468286,5.96121511041363,19.9236012283724,11.9926568758344
"Chambers County","Alabama",74.7026464205289,17.3,81.6,13.3,42,0.423,18.1,33660,42289,3.9,2019,57.7035056446821,2.3767082590612,39.5603089720737,7.28732897085068,14.8994515539305,11.3878171401847
"Cherokee County","Alabama",74.6131502945787,13.9,81.6,12.8,46.5,0.4515,17.8,25903,41919,4.4,2019,92.8541095625989,1.59440991390959,4.59792302049956,4.47052249231629,10.0698725852857,4.74887094566854
